Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteLogin,Firefox 56.0,,2017-10-30 11:16:53,2017-10-30 11:18:03,"1m - 10,470s",PASSED
,,,,,,
Test Cases/Crear User,Firefox 56.0,,2017-10-30 11:16:54,2017-10-30 11:18:03,"1m - 9,093s",PASSED
openBrowser,Firefox 56.0,,2017-10-30 11:16:57,2017-10-30 11:17:29,"32,522s",PASSED
Statement - SignIn = new com.kms.katalon.core.testobject.TestObject(SignIn),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-30 11:17:29,2017-10-30 11:17:29,"0,060s",PASSED
"Statement - SignIn.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/user')][@title='Sign In']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-30 11:17:29,2017-10-30 11:17:30,"0,123s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-30 11:17:30,2017-10-30 11:17:31,"1,644s",PASSED
Statement - CreateAccount = new com.kms.katalon.core.testobject.TestObject(CreateAccount),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-30 11:17:31,2017-10-30 11:17:31,"0,003s",PASSED
"Statement - CreateAccount.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/createAccount')][@class='btn']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-30 11:17:31,2017-10-30 11:17:31,"0,002s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-30 11:17:31,2017-10-30 11:17:39,"7,506s",PASSED
"Statement - s = ""tlg-""",Firefox 56.0,,2017-10-30 11:17:39,2017-10-30 11:17:39,"0,001s",PASSED
"Statement - s += new java.util.Date().format(""yyyyMMdd"")",Firefox 56.0,,2017-10-30 11:17:39,2017-10-30 11:17:39,"0,053s",PASSED
"Statement - s += ""-""",Firefox 56.0,,2017-10-30 11:17:39,2017-10-30 11:17:39,"0,004s",PASSED
Statement - randomGenerator = new java.util.Random(),Firefox 56.0,,2017-10-30 11:17:39,2017-10-30 11:17:39,"0,027s",PASSED
Statement - hash = randomGenerator.nextInt(100),Firefox 56.0,,2017-10-30 11:17:39,2017-10-30 11:17:39,"0,022s",PASSED
